ts_ms,asset_id,point,value,quality
1779674947721,PUMP-001,rpm,1508.1581402687652,good
1779674947721,PUMP-001,load,0.34614664883201113,good
1779674947721,PUMP-001,vib_rms,1.7494421920769099,good
1779674947721,PUMP-001,temp_c,33.43563302962515,good
1779674947721,PUMP-001,motor_current_a,18.4322383753297,good
1779674947721,PUMP-001,label_health_level,0.0,good
1779674948721,PUMP-001,rpm,1527.134951816378,good
1779674948721,PUMP-001,load,0.3525064984128988,good
1779674948721,PUMP-001,vib_rms,1.746205036601633,good
1779674948721,PUMP-001,temp_c,34.31479459681536,good
1779674948721,PUMP-001,motor_current_a,18.47016927159087,good
1779674948721,PUMP-001,label_health_level,0.0,good
1779674949721,PUMP-001,rpm,1503.7232017399263,good
1779674949721,PUMP-001,load,0.32242393149701687,good
1779674949721,PUMP-001,vib_rms,1.597613135035369,good
1779674949721,PUMP-001,temp_c,32.82983551970209,good
1779674949721,PUMP-001,motor_current_a,17.549713652629148,good
1779674949721,PUMP-001,label_health_level,0.0,good
1779674950721,PUMP-001,rpm,1478.0604412153955,good
1779674950721,PUMP-001,load,0.32454912044550155,good
1779674950721,PUMP-001,vib_rms,1.740074459627464,good
1779674950721,PUMP-001,temp_c,33.136887286649824,good
1779674950721,PUMP-001,motor_current_a,18.037230434265084,good
1779674950721,PUMP-001,label_health_level,0.0,good
1779674951721,PUMP-001,rpm,1505.248276528038,good
1779674951721,PUMP-001,load,0.34677821856823565,good
1779674951721,PUMP-001,vib_rms,1.7705078934867717,good
1779674951721,PUMP-001,temp_c,34.42394585715057,good
1779674951721,PUMP-001,motor_current_a,18.326222517537392,good
1779674951721,PUMP-001,label_health_level,0.0,good
1779674952721,PUMP-001,rpm,1492.8866844540573,good
1779674952721,PUMP-001,load,0.34422059651443443,good
1779674952721,PUMP-001,vib_rms,1.7566276140852124,good
1779674952721,PUMP-001,temp_c,34.4576929016259,good
1779674952721,PUMP-001,motor_current_a,18.302227167924872,good
1779674952721,PUMP-001,label_health_level,0.0,good
1779674953721,PUMP-001,rpm,1492.0188517752192,good
1779674953721,PUMP-001,load,0.3545531118883277,good
1779674953721,PUMP-001,vib_rms,1.778502313886385,good
1779674953721,PUMP-001,temp_c,34.328208129703846,good
1779674953721,PUMP-001,motor_current_a,18.729519376415507,good
1779674953721,PUMP-001,label_health_level,0.0,good
1779674954721,PUMP-001,rpm,1491.3444445177647,good
1779674954721,PUMP-001,load,0.3792462916746813,good
1779674954721,PUMP-001,vib_rms,1.9120777859425915,good
1779674954721,PUMP-001,temp_c,34.440569427442,good
1779674954721,PUMP-001,motor_current_a,19.390029825198805,good
1779674954721,PUMP-001,label_health_level,0.0,good
1779674955721,PUMP-001,rpm,1495.5951305457343,good
1779674955721,PUMP-001,load,0.36881849975234565,good
1779674955721,PUMP-001,vib_rms,1.9009136787764072,good
1779674955721,PUMP-001,temp_c,34.45168429039425,good
1779674955721,PUMP-001,motor_current_a,19.007477367797204,good
1779674955721,PUMP-001,label_health_level,0.0,good
1779674956721,PUMP-001,rpm,1481.4925918996626,good
1779674956721,PUMP-001,load,0.327405684820309,good
1779674956721,PUMP-001,vib_rms,1.8141492593045647,good
1779674956721,PUMP-001,temp_c,33.992685531439136,good
1779674956721,PUMP-001,motor_current_a,17.899587688525422,good
1779674956721,PUMP-001,label_health_level,0.0,good
